0.04,0.05,-0.31
0.09,0,-0.22
0.11,0,-0.13
0.11,0.02,-0.08
0.15,0.09,0.07
0.11,0.06,0.04
0.11,0.05,0.06
0.11,0.03,0.01
0.04,0.07,-0.09
0.01,0.01,-0.08
0.09,-0.06,0.07
0.12,-0.08,0.11
0.18,-0.06,0.06
0.19,-0.01,-0.06
0.18,0,-0.05
0.13,-0.01,-0.1
0.1,0,-0.15
0.04,-0.03,-0.13
0.02,0,-0.1
0.02,-0.02,-0.04
0.08,-0.06,0
0.13,-0.03,-0.01
0.15,-0.03,-0.03
0.16,-0.06,-0.07
0.14,-0.06,-0.1
0.07,-0.08,-0.12
0.06,-0.09,-0.12
0,-0.07,-0.13
-0.01,-0.11,-0.09
0,-0.13,-0.08
0.03,-0.11,-0.07
0.07,-0.02,-0.01
0.11,-0.02,0.07
0.06,0,0.13
0.02,0.06,0.03
0.1,0.2,-0.1
0.11,0.08,-0.12
0.15,0.01,-0.16
0.16,0,-0.12
0.13,0.05,-0.06
0.09,0.02,0.04
0.06,-0.06,0.08
0.07,-0.07,0.08
0.08,-0.04,0.02
0.07,-0.06,-0.02
0.11,0.07,-0.24
0.12,0.11,-0.2
0.12,0.04,-0.16
0.09,-0.05,0
0.06,-0.09,0.09
0.07,-0.07,0.08
0.03,-0.04,-0.03
0.07,-0.01,-0.08
0.09,0.02,-0.13
0.16,0.02,0
0.2,0,0.03
0.25,-0.01,0.06
0.25,0.04,0.04
0.21,0,0.04
0.14,-0.13,0.04
0.18,-0.01,-0.12
0.15,0.01,-0.23
0.16,0,-0.21
0.16,0.01,-0.08
0.21,-0.02,-0.03
0.21,-0.05,-0.03
0.21,-0.07,0
0.2,0,-0.01
0.21,-0.01,0.02
0.09,-0.01,0
0.05,0,-0.1
0.04,0,-0.07
0.06,-0.01,0
0.08,-0.01,0.01
0.07,0,0.02
0.12,-0.03,0.04
0.16,-0.07,0
0.13,-0.07,0.01
0.13,-0.05,-0.1
0.15,-0.02,-0.13
0.12,-0.01,-0.09
0.12,0.01,-0.1
0.09,0.02,-0.12
0.11,0.02,-0.09
0.09,0,-0.02
0.05,-0.02,-0.03
0.06,-0.09,0.07
0.08,-0.08,0.07
0.12,0,-0.03
0.14,0.01,-0.11
0.19,0.06,-0.09
0.15,0.03,-0.01
0.14,0,0.03
0.12,0,0.05
0.11,0,0
0.11,-0.09,-0.02
0.17,-0.07,-0.03
0.19,-0.09,-0.02
0.26,-0.02,-0.03
0.21,-0.04,-0.02
0.21,-0.02,-0.02
0.18,-0.01,-0.02
0.13,0.01,-0.04
0.11,0.05,-0.06
0.13,0.05,-0.05
0.17,0.04,-0.06
0.18,0.02,-0.06
0.18,-0.07,0.06
0.15,-0.11,0.06
0.12,-0.1,0.02
0.08,-0.04,-0.13
0.04,-0.03,-0.17
0.05,0,-0.12
0.09,-0.02,-0.03
0.12,-0.04,-0.03
0.16,-0.08,0.01
0.2,-0.07,0.06
0.2,-0.07,0.05
0.21,-0.04,0.01
0.15,0.04,-0.16
0.11,0.04,-0.14
0.08,0,-0.15
0.07,-0.03,-0.09
0.1,-0.07,0.04
0.11,-0.06,0.02
0.14,-0.02,0
0.17,-0.06,-0.06
